,Descriptor,Train,Test,Classifier,Scaler,Acc. avg,Acc. std,Sens.,Spec.
102,MobileNet_V2,BUID,BrEaST,Rbf SVC,z-score,73.4126984126984,,46.93877551020408,90.25974025974025
103,MobileNet_V2,BUID,BrEaST,Rbf SVC (tuned),z-score,73.4126984126984,,46.93877551020408,90.25974025974025
99,MobileNet_V2,BrEaST,BUID,Rbf SVC (tuned),z-score,62.93103448275862,,35.77235772357724,93.57798165137615
96,MobileNet_V2,BrEaST,BrEaST,Rbf SVC,z-score,73.45882352941176,5.606740601887615,51.1578947368421,87.72043010752688
5,Morphological,BUID,BUID,Rbf SVC (tuned),z-score,77.57631822386678,2.9581109493792166,77.26666666666668,77.96536796536796
7,Morphological,BUID,BrEaST,Rbf SVC (tuned),z-score,78.96825396825396,,74.48979591836735,81.81818181818183
2,Morphological,BrEaST,BUID,Rbf SVC,z-score,71.55172413793103,,64.22764227642277,79.81651376146789
3,Morphological,BrEaST,BUID,Rbf SVC (tuned),z-score,71.55172413793103,,64.22764227642277,79.81651376146789
1,Morphological,BrEaST,BrEaST,Rbf SVC (tuned),z-score,75.84313725490196,5.282398066680624,60.36842105263158,85.76344086021506
108,ResNet50,BUID,BUID,Rbf SVC,z-score,74.52358926919518,6.988860903377643,65.76666666666668,84.32900432900433
110,ResNet50,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,,59.183673469387756,88.31168831168831
111,ResNet50,BUID,BrEaST,Rbf SVC (tuned),z-score,76.98412698412699,,59.183673469387756,88.31168831168831
106,ResNet50,BrEaST,BUID,Rbf SVC,z-score,66.8103448275862,,44.71544715447154,91.74311926605505
107,ResNet50,BrEaST,BUID,Rbf SVC (tuned),z-score,66.8103448275862,,44.71544715447154,91.74311926605505
105,ResNet50,BrEaST,BrEaST,Rbf SVC (tuned),z-score,73.85098039215686,6.657590130348516,51.10526315789474,88.38709677419355
117,Swin_V2_s,BUID,BUID,Rbf SVC (tuned),z-score,80.15726179463459,5.066306961244487,77.26666666666668,83.41991341991343
118,Swin_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,,75.51020408163265,78.57142857142857
115,Swin_V2_s,BrEaST,BUID,Rbf SVC (tuned),z-score,75.43103448275862,,66.66666666666666,85.3211009174312
112,Swin_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,78.21176470588236,5.861851856669741,69.57894736842105,83.84946236559139
