,Descriptor,Train,Test,Classifier,Scaler,Acc. avg,Acc. std,Sens.,Spec.
0,LBP-8-1-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,56.46551724137932,,30.081300813008134,86.23853211009175
0,LBP-8-1-nri-uniform,BUID,BUID,Rbf SVC,z-score,67.64107308048105,9.824419739382149,73.23333333333332,61.29870129870129
0,LBP-8-1-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,56.46551724137932,,30.081300813008134,86.23853211009175
0,LBP-8-1-ror,BrEaST,BrEaST,Rbf SVC,z-score,69.45882352941176,6.159005496996559,58.105263157894726,76.64516129032258
0,LBP-8-1-ror,BrEaST,BUID,Rbf SVC,z-score,55.172413793103445,,21.951219512195124,92.66055045871559
0,LBP-8-1-ror,BUID,BUID,Rbf SVC,z-score,62.48843663274745,9.077377338934959,62.7,62.38095238095239
0,LBP-8-1-ror,BrEaST,BUID,Rbf SVC,z-score,55.172413793103445,,21.951219512195124,92.66055045871559
0,LBP-8-1-uniform,BrEaST,BrEaST,Rbf SVC,z-score,72.19607843137256,5.6119825665771925,63.105263157894726,77.9784946236559
0,LBP-8-1-uniform,BrEaST,BUID,Rbf SVC,z-score,56.03448275862068,,24.390243902439025,91.74311926605505
0,LBP-8-1-uniform,BUID,BUID,Rbf SVC,z-score,64.61609620721553,7.444021289346423,64.23333333333332,65.02164502164501
0,LBP-8-1-uniform,BrEaST,BUID,Rbf SVC,z-score,56.03448275862068,,24.390243902439025,91.74311926605505
0,LBP-8-2-nri-uniform,BrEaST,BrEaST,Rbf SVC,z-score,76.59607843137255,3.366469668885542,71.26315789473684,79.84946236559139
0,LBP-8-2-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,69.39655172413794,,74.79674796747967,63.30275229357798
0,LBP-8-2-nri-uniform,BUID,BUID,Rbf SVC,z-score,69.32469935245143,10.75861654783839,73.96666666666667,64.15584415584415
0,LBP-8-2-nri-uniform,BrEaST,BUID,Rbf SVC,z-score,69.39655172413794,,74.79674796747967,63.30275229357798
0,LBP-8-2-ror,BrEaST,BrEaST,Rbf SVC,z-score,72.98039215686273,5.290020200858424,63.05263157894738,79.22580645161291
0,LBP-8-2-ror,BrEaST,BUID,Rbf SVC,z-score,59.05172413793104,,44.71544715447154,75.22935779816514
0,LBP-8-2-ror,BUID,BUID,Rbf SVC,z-score,66.33672525439408,7.44737732039683,69.93333333333332,62.38095238095239
0,LBP-8-2-ror,BrEaST,BUID,Rbf SVC,z-score,59.05172413793104,,44.71544715447154,75.22935779816514
0,LBP-8-2-uniform,BrEaST,BrEaST,Rbf SVC,z-score,74.98039215686273,3.8029915984707636,61.05263157894738,83.82795698924731
0,LBP-8-2-uniform,BrEaST,BUID,Rbf SVC,z-score,62.5,,56.91056910569105,68.80733944954129
0,LBP-8-2-uniform,BUID,BUID,Rbf SVC,z-score,65.0508788159112,4.810769924960906,71.53333333333333,57.74891774891775
0,LBP-8-2-uniform,BrEaST,BUID,Rbf SVC,z-score,62.5,,56.91056910569105,68.80733944954129
0,ConvNeXt_base,BrEaST,BrEaST,Rbf SVC,z-score,78.18039215686274,5.183868747774783,68.42105263157895,84.38709677419357
0,ConvNeXt_base,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,,69.10569105691057,89.90825688073394
0,ConvNeXt_base,BUID,BUID,Rbf SVC,z-score,78.44588344125809,2.392158587179648,77.23333333333332,79.82683982683983
0,ConvNeXt_base,BrEaST,BUID,Rbf SVC,z-score,78.87931034482759,,69.10569105691057,89.90825688073394
0,EfficientNet_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,75.01176470588236,4.0156096806420845,59.1578947368421,85.01075268817205
0,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC,z-score,71.12068965517241,,53.65853658536586,90.82568807339449
0,EfficientNet_V2_s,BUID,BUID,Rbf SVC,z-score,74.53283996299722,5.803039190816667,69.03333333333333,80.82251082251082
0,EfficientNet_V2_s,BrEaST,BUID,Rbf SVC,z-score,71.12068965517241,,53.65853658536586,90.82568807339449
0,MobileNet_V2,BrEaST,BrEaST,Rbf SVC,z-score,73.81176470588235,6.577601128170301,51.05263157894737,88.25806451612904
0,MobileNet_V2,BrEaST,BUID,Rbf SVC,z-score,59.91379310344828,,30.081300813008134,93.57798165137615
